"CODIGO_CARGO","SIGLA_PARTIDO","NUM_TURNO","DESCRICAO_CARGO","ANO_ELEICAO","NUMERO_PARTIDO","NUMERO_CANDIDATO","UF","NOME_CANDIDATO","QTDE_VOTOS"
"1","PRTB","1","PRESIDENTE","2014","28","28","RR","JOSÉ LEVY FIDELIX DA CRUZ","1285"
"1","PRTB","1","PRESIDENTE","2014","28","28","RS","JOSÉ LEVY FIDELIX DA CRUZ","17954"
"1","PRTB","1","PRESIDENTE","2014","28","28","SC","JOSÉ LEVY FIDELIX DA CRUZ","15774"
"1","PRTB","1","PRESIDENTE","2014","28","28","SE","JOSÉ LEVY FIDELIX DA CRUZ","3677"
"1","PRTB","1","PRESIDENTE","2014","28","28","SP","JOSÉ LEVY FIDELIX DA CRUZ","136244"
"1","PRTB","1","PRESIDENTE","2014","28","28","TO","JOSÉ LEVY FIDELIX DA CRUZ","1654"
"1","PRTB","1","PRESIDENTE","2014","28","28","ZZ","JOSÉ LEVY FIDELIX DA CRUZ","436"
"1","PSB","1","PRESIDENTE","2014","40","40","AC","MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA","167603"
"1","PSB","1","PRESIDENTE","2014","40","40","AL","MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA","356803"
"1","PSB","1","PRESIDENTE","2014","40","40","AM","MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA","361632"
"1","PSB","1","PRESIDENTE","2014","40","40","AP","MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA","77791"
"1","PSB","1","PRESIDENTE","2014","40","40","BA","MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA","1284711"
"1","PSB","1","PRESIDENTE","2014","40","40","CE","MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA","638614"
"1","PSB","1","PRESIDENTE","2014","40","40","DF","MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA","565279"
"1","PSB","1","PRESIDENTE","2014","40","40","ES","MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA","567964"
"1","PSB","1","PRESIDENTE","2014","40","40","GO","MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA","771591"
"1","PSB","1","PRESIDENTE","2014","40","40","MA","MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA","535013"
"1","PSB","1","PRESIDENTE","2014","40","40","MG","MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA","1555553"
"1","PSB","1","PRESIDENTE","2014","40","40","MS","MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA","257976"
"1","PSB","1","PRESIDENTE","2014","40","40","MT","MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA","220067"
"1","PSB","1","PRESIDENTE","2014","40","40","PA","MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA","627319"
"1","PSB","1","PRESIDENTE","2014","40","40","PB","MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA","393685"
"1","PSB","1","PRESIDENTE","2014","40","40","PE","MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA","2311491"
"1","PSB","1","PRESIDENTE","2014","40","40","PI","MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA","246271"
"1","PSB","1","PRESIDENTE","2014","40","40","PR","MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA","861820"
"1","PSB","1","PRESIDENTE","2014","40","40","RJ","MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA","2592292"
"1","PSB","1","PRESIDENTE","2014","40","40","RN","MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA","286301"
"1","PSB","1","PRESIDENTE","2014","40","40","RO","MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA","86293"
"1","PSB","1","PRESIDENTE","2014","40","40","RR","MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA","47087"
"1","PSB","1","PRESIDENTE","2014","40","40","RS","MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA","732828"
"1","PSB","1","PRESIDENTE","2014","40","40","SC","MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA","476430"
"1","PSB","1","PRESIDENTE","2014","40","40","SE","MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA","203390"
"1","PSB","1","PRESIDENTE","2014","40","40","SP","MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA","5765598"
"1","PSB","1","PRESIDENTE","2014","40","40","TO","MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA","150690"
"1","PSB","1","PRESIDENTE","2014","40","40","ZZ","MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA","34527"
"1","PSC","1","PRESIDENTE","2014","20","20","AC","EVERALDO DIAS PEREIRA","1203"
"1","PSC","1","PRESIDENTE","2014","20","20","AL","EVERALDO DIAS PEREIRA","8413"
"1","PSC","1","PRESIDENTE","2014","20","20","AM","EVERALDO DIAS PEREIRA","42697"
"1","PSC","1","PRESIDENTE","2014","20","20","AP","EVERALDO DIAS PEREIRA","5116"
"1","PSC","1","PRESIDENTE","2014","20","20","BA","EVERALDO DIAS PEREIRA","37194"
"1","PSC","1","PRESIDENTE","2014","20","20","CE","EVERALDO DIAS PEREIRA","25749"
"1","PSC","1","PRESIDENTE","2014","20","20","DF","EVERALDO DIAS PEREIRA","10053"
"1","PSC","1","PRESIDENTE","2014","20","20","ES","EVERALDO DIAS PEREIRA","16138"
"1","PSC","1","PRESIDENTE","2014","20","20","GO","EVERALDO DIAS PEREIRA","19005"
"1","PSC","1","PRESIDENTE","2014","20","20","MA","EVERALDO DIAS PEREIRA","22389"
"1","PSC","1","PRESIDENTE","2014","20","20","MG","EVERALDO DIAS PEREIRA","67486"
"1","PSC","1","PRESIDENTE","2014","20","20","MS","EVERALDO DIAS PEREIRA","6977"
"1","PSC","1","PRESIDENTE","2014","20","20","MT","EVERALDO DIAS PEREIRA","9129"
"1","PSC","1","PRESIDENTE","2014","20","20","PA","EVERALDO DIAS PEREIRA","43068"
"1","PSC","1","PRESIDENTE","2014","20","20","PB","EVERALDO DIAS PEREIRA","12102"
"1","PSC","1","PRESIDENTE","2014","20","20","PE","EVERALDO DIAS PEREIRA","15691"
"1","PSC","1","PRESIDENTE","2014","20","20","PI","EVERALDO DIAS PEREIRA","6284"
"1","PSC","1","PRESIDENTE","2014","20","20","PR","EVERALDO DIAS PEREIRA","40656"
"1","PSC","1","PRESIDENTE","2014","20","20","RJ","EVERALDO DIAS PEREIRA","136163"
"1","PSC","1","PRESIDENTE","2014","20","20","RN","EVERALDO DIAS PEREIRA","13316"
"1","PSC","1","PRESIDENTE","2014","20","20","RO","EVERALDO DIAS PEREIRA","12512"
"1","PSC","1","PRESIDENTE","2014","20","20","RR","EVERALDO DIAS PEREIRA","5194"
"1","PSC","1","PRESIDENTE","2014","20","20","RS","EVERALDO DIAS PEREIRA","33053"
"1","PSC","1","PRESIDENTE","2014","20","20","SC","EVERALDO DIAS PEREIRA","23661"
"1","PSC","1","PRESIDENTE","2014","20","20","SE","EVERALDO DIAS PEREIRA","18776"
"1","PSC","1","PRESIDENTE","2014","20","20","SP","EVERALDO DIAS PEREIRA","142842"
"1","PSC","1","PRESIDENTE","2014","20","20","TO","EVERALDO DIAS PEREIRA","4740"
"1","PSC","1","PRESIDENTE","2014","20","20","ZZ","EVERALDO DIAS PEREIRA","906"
"1","PSDB","1","PRESIDENTE","2014","45","45","AC","AÉCIO NEVES DA CUNHA","116109"
"1","PSDB","1","PRESIDENTE","2014","45","45","AL","AÉCIO NEVES DA CUNHA","311830"
"1","PSDB","1","PRESIDENTE","2014","45","45","AM","AÉCIO NEVES DA CUNHA","326257"
"1","PSDB","1","PRESIDENTE","2014","45","45","AP","AÉCIO NEVES DA CUNHA","99125"
"1","PSDB","1","PRESIDENTE","2014","45","45","BA","AÉCIO NEVES DA CUNHA","1277512"
"1","PSDB","1","PRESIDENTE","2014","45","45","CE","AÉCIO NEVES DA CUNHA","677587"
"1","PSDB","1","PRESIDENTE","2014","45","45","DF","AÉCIO NEVES DA CUNHA","570494"
"1","PSDB","1","PRESIDENTE","2014","45","45","ES","AÉCIO NEVES DA CUNHA","694085"
"1","PSDB","1","PRESIDENTE","2014","45","45","GO","AÉCIO NEVES DA CUNHA","1341320"
"1","PSDB","1","PRESIDENTE","2014","45","45","MA","AÉCIO NEVES DA CUNHA","365655"
"1","PSDB","1","PRESIDENTE","2014","45","45","MG","AÉCIO NEVES DA CUNHA","4417876"
"1","PSDB","1","PRESIDENTE","2014","45","45","MS","AÉCIO NEVES DA CUNHA","558826"
"1","PSDB","1","PRESIDENTE","2014","45","45","MT","AÉCIO NEVES DA CUNHA","693755"
"1","PSDB","1","PRESIDENTE","2014","45","45","PA","AÉCIO NEVES DA CUNHA","1058334"
"1","PSDB","1","PRESIDENTE","2014","45","45","PB","AÉCIO NEVES DA CUNHA","490962"
"1","PSDB","1","PRESIDENTE","2014","45","45","PE","AÉCIO NEVES DA CUNHA","285315"
"1","PSDB","1","PRESIDENTE","2014","45","45","PI","AÉCIO NEVES DA CUNHA","242256"
"1","PSDB","1","PRESIDENTE","2014","45","45","PR","AÉCIO NEVES DA CUNHA","3021988"
"1","PSDB","1","PRESIDENTE","2014","45","45","RJ","AÉCIO NEVES DA CUNHA","2249662"
"1","PSDB","1","PRESIDENTE","2014","45","45","RN","AÉCIO NEVES DA CUNHA","330264"
"1","PSDB","1","PRESIDENTE","2014","45","45","RO","AÉCIO NEVES DA CUNHA","371937"
"1","PSDB","1","PRESIDENTE","2014","45","45","RR","AÉCIO NEVES DA CUNHA","109070"
"1","PSDB","1","PRESIDENTE","2014","45","45","RS","AÉCIO NEVES DA CUNHA","2639647"
"1","PSDB","1","PRESIDENTE","2014","45","45","SC","AÉCIO NEVES DA CUNHA","1963772"
"1","PSDB","1","PRESIDENTE","2014","45","45","SE","AÉCIO NEVES DA CUNHA","248756"
"1","PSDB","1","PRESIDENTE","2014","45","45","SP","AÉCIO NEVES DA CUNHA","10165921"
"1","PSDB","1","PRESIDENTE","2014","45","45","TO","AÉCIO NEVES DA CUNHA","203183"
"1","PSDB","1","PRESIDENTE","2014","45","45","ZZ","AÉCIO NEVES DA CUNHA","65713"
"1","PSDB","2","PRESIDENTE","2014","45","45","AC","AÉCIO NEVES DA CUNHA","243677"
"1","PSDB","2","PRESIDENTE","2014","45","45","AL","AÉCIO NEVES DA CUNHA","574322"
"1","PSDB","2","PRESIDENTE","2014","45","45","AM","AÉCIO NEVES DA CUNHA","556545"
"1","PSDB","2","PRESIDENTE","2014","45","45","AP","AÉCIO NEVES DA CUNHA","142780"
"1","PSDB","2","PRESIDENTE","2014","45","45","BA","AÉCIO NEVES DA CUNHA","2153111"
"1","PSDB","2","PRESIDENTE","2014","45","45","CE","AÉCIO NEVES DA CUNHA","1068169"
"1","PSDB","2","PRESIDENTE","2014","45","45","DF","AÉCIO NEVES DA CUNHA","946171"
"1","PSDB","2","PRESIDENTE","2014","45","45","ES","AÉCIO NEVES DA CUNHA","1065485"
"1","PSDB","2","PRESIDENTE","2014","45","45","GO","AÉCIO NEVES DA CUNHA","1819139"
"1","PSDB","2","PRESIDENTE","2014","45","45","MA","AÉCIO NEVES DA CUNHA","667823"
"1","PSDB","2","PRESIDENTE","2014","45","45","MG","AÉCIO NEVES DA CUNHA","5432465"
"1","PSDB","2","PRESIDENTE","2014","45","45","MS","AÉCIO NEVES DA CUNHA","762797"
"1","PSDB","2","PRESIDENTE","2014","45","45","MT","AÉCIO NEVES DA CUNHA","865610"
"1","PSDB","2","PRESIDENTE","2014","45","45","PA","AÉCIO NEVES DA CUNHA","1561066"
"1","PSDB","2","PRESIDENTE","2014","45","45","PB","AÉCIO NEVES DA CUNHA","768475"
"1","PSDB","2","PRESIDENTE","2014","45","45","PE","AÉCIO NEVES DA CUNHA","1460279"
"1","PSDB","2","PRESIDENTE","2014","45","45","PI","AÉCIO NEVES DA CUNHA","384157"
"1","PSDB","2","PRESIDENTE","2014","45","45","PR","AÉCIO NEVES DA CUNHA","3769054"
"1","PSDB","2","PRESIDENTE","2014","45","45","RJ","AÉCIO NEVES DA CUNHA","3685122"
"1","PSDB","2","PRESIDENTE","2014","45","45","RN","AÉCIO NEVES DA CUNHA","516487"
"1","PSDB","2","PRESIDENTE","2014","45","45","RO","AÉCIO NEVES DA CUNHA","442698"
"1","PSDB","2","PRESIDENTE","2014","45","45","RR","AÉCIO NEVES DA CUNHA","139752"
"1","PSDB","2","PRESIDENTE","2014","45","45","RS","AÉCIO NEVES DA CUNHA","3455214"
"1","PSDB","2","PRESIDENTE","2014","45","45","SC","AÉCIO NEVES DA CUNHA","2472142"
"1","PSDB","2","PRESIDENTE","2014","45","45","SE","AÉCIO NEVES DA CUNHA","380654"
"1","PSDB","2","PRESIDENTE","2014","45","45","SP","AÉCIO NEVES DA CUNHA","15311664"
"1","PSDB","2","PRESIDENTE","2014","45","45","TO","AÉCIO NEVES DA CUNHA","292176"
"1","PSDB","2","PRESIDENTE","2014","45","45","ZZ","AÉCIO NEVES DA CUNHA","104121"
"1","PSDC","1","PRESIDENTE","2014","27","27","AC","JOSE MARIA EYMAEL","282"
"1","PSDC","1","PRESIDENTE","2014","27","27","AL","JOSE MARIA EYMAEL","610"
"1","PSDC","1","PRESIDENTE","2014","27","27","AM","JOSE MARIA EYMAEL","621"
"1","PSDC","1","PRESIDENTE","2014","27","27","AP","JOSE MARIA EYMAEL","435"
"1","PSDC","1","PRESIDENTE","2014","27","27","BA","JOSE MARIA EYMAEL","1828"
"1","PSDC","1","PRESIDENTE","2014","27","27","CE","JOSE MARIA EYMAEL","3193"
"1","PSDC","1","PRESIDENTE","2014","27","27","DF","JOSE MARIA EYMAEL","1295"
"1","PSDC","1","PRESIDENTE","2014","27","27","ES","JOSE MARIA EYMAEL","1133"
"1","PSDC","1","PRESIDENTE","2014","27","27","GO","JOSE MARIA EYMAEL","1948"
"1","PSDC","1","PRESIDENTE","2014","27","27","MA","JOSE MARIA EYMAEL","2205"
"1","PSDC","1","PRESIDENTE","2014","27","27","MG","JOSE MARIA EYMAEL","5545"
"1","PSDC","1","PRESIDENTE","2014","27","27","MS","JOSE MARIA EYMAEL","478"
"1","PSDC","1","PRESIDENTE","2014","27","27","MT","JOSE MARIA EYMAEL","470"
"1","PSDC","1","PRESIDENTE","2014","27","27","PA","JOSE MARIA EYMAEL","915"
"1","PSDC","1","PRESIDENTE","2014","27","27","PB","JOSE MARIA EYMAEL","911"
"1","PSDC","1","PRESIDENTE","2014","27","27","PE","JOSE MARIA EYMAEL","1266"
"1","PSDC","1","PRESIDENTE","2014","27","27","PI","JOSE MARIA EYMAEL","752"
"1","PSDC","1","PRESIDENTE","2014","27","27","PR","JOSE MARIA EYMAEL","4828"
"1","PSDC","1","PRESIDENTE","2014","27","27","RJ","JOSE MARIA EYMAEL","11754"
"1","PSDC","1","PRESIDENTE","2014","27","27","RN","JOSE MARIA EYMAEL","929"
"1","PSDC","1","PRESIDENTE","2014","27","27","RO","JOSE MARIA EYMAEL","634"
"1","PSDC","1","PRESIDENTE","2014","27","27","RR","JOSE MARIA EYMAEL","515"
"1","PSDC","1","PRESIDENTE","2014","27","27","RS","JOSE MARIA EYMAEL","2255"
"1","PSDC","1","PRESIDENTE","2014","27","27","SC","JOSE MARIA EYMAEL","2005"
"1","PSDC","1","PRESIDENTE","2014","27","27","SE","JOSE MARIA EYMAEL","431"
"1","PSDC","1","PRESIDENTE","2014","27","27","SP","JOSE MARIA EYMAEL","13510"
"1","PSDC","1","PRESIDENTE","2014","27","27","TO","JOSE MARIA EYMAEL","221"
"1","PSDC","1","PRESIDENTE","2014","27","27","ZZ","JOSE MARIA EYMAEL","281"
"1","PSOL","1","PRESIDENTE","2014","50","50","AC","LUCIANA KREBS GENRO","867"
"1","PSOL","1","PRESIDENTE","2014","50","50","AL","LUCIANA KREBS GENRO","15236"
"1","PSOL","1","PRESIDENTE","2014","50","50","AM","LUCIANA KREBS GENRO","15957"
"1","PSOL","1","PRESIDENTE","2014","50","50","AP","LUCIANA KREBS GENRO","4008"
"1","PSOL","1","PRESIDENTE","2014","50","50","BA","LUCIANA KREBS GENRO","55837"
"1","PSOL","1","PRESIDENTE","2014","50","50","CE","LUCIANA KREBS GENRO","52484"
"1","PSOL","1","PRESIDENTE","2014","50","50","DF","LUCIANA KREBS GENRO","31435"
"1","PSOL","1","PRESIDENTE","2014","50","50","ES","LUCIANA KREBS GENRO","19016"
"1","PSOL","1","PRESIDENTE","2014","50","50","GO","LUCIANA KREBS GENRO","30411"
"1","PSOL","1","PRESIDENTE","2014","50","50","MA","LUCIANA KREBS GENRO","13100"
"1","PSOL","1","PRESIDENTE","2014","50","50","MG","LUCIANA KREBS GENRO","139889"
"1","PSOL","1","PRESIDENTE","2014","50","50","MS","LUCIANA KREBS GENRO","10708"
"1","PSOL","1","PRESIDENTE","2014","50","50","MT","LUCIANA KREBS GENRO","10093"
"1","PSOL","1","PRESIDENTE","2014","50","50","PA","LUCIANA KREBS GENRO","40353"
"1","PSOL","1","PRESIDENTE","2014","50","50","PB","LUCIANA KREBS GENRO","16847"
"1","PSOL","1","PRESIDENTE","2014","50","50","PE","LUCIANA KREBS GENRO","40455"
"1","PSOL","1","PRESIDENTE","2014","50","50","PI","LUCIANA KREBS GENRO","10159"
"1","PSOL","1","PRESIDENTE","2014","50","50","PR","LUCIANA KREBS GENRO","79267"
"1","PSOL","1","PRESIDENTE","2014","50","50","RJ","LUCIANA KREBS GENRO","227432"
"1","PSOL","1","PRESIDENTE","2014","50","50","RN","LUCIANA KREBS GENRO","20212"
"1","PSOL","1","PRESIDENTE","2014","50","50","RO","LUCIANA KREBS GENRO","4664"
"1","PSOL","1","PRESIDENTE","2014","50","50","RR","LUCIANA KREBS GENRO","2815"
"1","PSOL","1","PRESIDENTE","2014","50","50","RS","LUCIANA KREBS GENRO","143370"
"1","PSOL","1","PRESIDENTE","2014","50","50","SC","LUCIANA KREBS GENRO","53532"
"1","PSOL","1","PRESIDENTE","2014","50","50","SE","LUCIANA KREBS GENRO","12827"
"1","PSOL","1","PRESIDENTE","2014","50","50","SP","LUCIANA KREBS GENRO","554863"
"1","PSOL","1","PRESIDENTE","2014","50","50","TO","LUCIANA KREBS GENRO","2875"
"1","PSOL","1","PRESIDENTE","2014","50","50","ZZ","LUCIANA KREBS GENRO","3474"
"1","PSTU","1","PRESIDENTE","2014","16","16","AC","JOSÉ MARIA DE ALMEIDA","112"
"1","PSTU","1","PRESIDENTE","2014","16","16","AL","JOSÉ MARIA DE ALMEIDA","1197"
"1","PSTU","1","PRESIDENTE","2014","16","16","AM","JOSÉ MARIA DE ALMEIDA","1353"
"1","PSTU","1","PRESIDENTE","2014","16","16","AP","JOSÉ MARIA DE ALMEIDA","1122"
"1","PSTU","1","PRESIDENTE","2014","16","16","BA","JOSÉ MARIA DE ALMEIDA","3508"
"1","PSTU","1","PRESIDENTE","2014","16","16","CE","JOSÉ MARIA DE ALMEIDA","4661"
"1","PSTU","1","PRESIDENTE","2014","16","16","DF","JOSÉ MARIA DE ALMEIDA","1495"
"1","PSTU","1","PRESIDENTE","2014","16","16","ES","JOSÉ MARIA DE ALMEIDA","1313"
